feel	date
3	01-Nov-2021
0	02-Nov-2021
4	03-Nov-2021
3	04-Nov-2021
0	05-Nov-2021
4	06-Nov-2021
1	07-Nov-2021
3	08-Nov-2021
0	09-Nov-2021
2	10-Nov-2021
2	11-Nov-2021
0	12-Nov-2021
3	13-Nov-2021
3	14-Nov-2021
2	15-Nov-2021
4	16-Nov-2021
0	17-Nov-2021
3	18-Nov-2021
3	19-Nov-2021
2	20-Nov-2021
1	21-Nov-2021
1	22-Nov-2021
2	23-Nov-2021
2	24-Nov-2021
4	25-Nov-2021
1	26-Nov-2021
4	27-Nov-2021
2	28-Nov-2021
0	29-Nov-2021
2	30-Nov-2021
2	01-Dec-2021
3	02-Dec-2021
1	03-Dec-2021
2	04-Dec-2021
3	05-Dec-2021
2	06-Dec-2021
3	07-Dec-2021
0	08-Dec-2021
1	09-Dec-2021
2	10-Dec-2021
0	11-Dec-2021
4	12-Dec-2021
0	13-Dec-2021
0	14-Dec-2021
2	15-Dec-2021
3	16-Dec-2021
4	17-Dec-2021
3	18-Dec-2021
2	19-Dec-2021
2	20-Dec-2021
